id,discount,restrictions,benefits,restaurant_id
1,30,0,0,10
2,30,0,0,8
3,30,0,0,12
4,30,0,0,18
5,30,0,0,24
6,30,0,0,25
7,30,0,0,30
8,30,0,0,31
9,30,0,0,31
10,30,0,0,31
11,30,0,0,34
12,30,0,0,33
13,30,0,0,32
14,30,0,0,39
15,30,0,0,39
16,30,0,0,39
17,30,0,0,37
18,30,0,0,38
19,30,0,0,43
20,30,0,0,49
21,30,0,0,55
22,30,0,0,55
23,30,0,0,55
24,30,0,0,72
25,30,0,0,72
26,30,0,0,72
27,30,0,0,74
28,30,0,0,78
29,30,0,0,81
30,30,0,0,80
31,30,0,0,80
32,30,0,0,80
33,30,0,0,86
34,30,0,0,85
35,30,0,0,88
36,30,0,0,93
37,30,0,0,94
38,30,0,0,96
39,30,0,0,102
40,30,0,0,106
41,30,0,0,112
42,30,0,0,113
43,30,0,0,113
44,30,0,0,113
45,30,0,0,119
46,30,0,0,117
47,30,0,0,118
48,30,0,0,120
49,30,0,0,120
50,30,0,0,120
52,30,0,0,132
53,30,0,0,133
54,30,0,0,150
55,30,0,0,153
56,30,0,0,152
57,30,0,0,156
58,30,0,0,156
59,30,0,0,156
60,30,0,0,157
61,30,0,0,163
62,30,0,0,161
63,30,0,0,169
64,30,0,0,173
65,30,0,0,183
66,30,0,0,183
67,30,0,0,183
68,30,0,0,184
69,30,0,0,196
70,30,0,0,197
71,30,0,0,199
72,30,0,0,200
73,30,0,0,200
74,30,0,0,200
75,30,0,0,205
76,30,0,0,203
77,30,0,0,203
78,30,0,0,203
79,30,0,0,211
80,30,0,0,212
81,30,0,0,210
82,30,0,0,225
83,30,0,0,224
84,30,0,0,228
85,30,0,0,233
86,30,0,0,235
87,30,0,0,237
88,30,0,0,239
89,30,0,0,240
90,30,0,0,254
91,30,0,0,253
92,30,0,0,255
93,30,0,0,258
94,30,0,0,258
95,30,0,0,258
96,30,0,0,259
97,30,0,0,265
98,30,0,0,272
99,30,0,0,274
100,30,0,0,275
101,30,0,0,285
102,30,0,0,285
103,30,0,0,285
104,30,0,0,289
105,30,0,0,291
106,30,0,0,297
107,30,0,0,297
108,30,0,0,297
109,30,0,0,300
110,30,0,0,300
111,30,0,0,300
112,30,0,0,303
113,30,0,0,303
114,30,0,0,303
115,30,0,0,307
116,30,0,0,309
117,30,0,0,312
118,30,0,0,313
119,30,0,0,317
120,30,0,0,317
121,30,0,0,317
122,30,0,0,319
123,30,0,0,319
